test_set,rank,source,ablation_reduction,aggregate_mean,positive_domains,exact_one_sided_p
original,1,anchorshift,0.031249970197677612,0.03906249441206455,5,0.0625
original,1,driftgate,0.03125,0.03906249441206455,5,0.0625
original,1,fluxpatch,0.0,0.03906249441206455,5,0.0625
original,1,motifbridge,-0.031250014901161194,0.03906249441206455,5,0.0625
original,1,phasenest,0.06249997019767761,0.03906249441206455,5,0.0625
original,1,phasesar,0.09375,0.03906249441206455,5,0.0625
original,1,quorumweave,0.0,0.03906249441206455,5,0.0625
original,1,shardbloom,0.1250000298023224,0.03906249441206455,5,0.0625
original,2,anchorshift,0.03125,0.08593750465661287,8,0.00390625
original,2,driftgate,0.062499985098838806,0.08593750465661287,8,0.00390625
original,2,fluxpatch,0.12500004470348358,0.08593750465661287,8,0.00390625
original,2,motifbridge,0.06249997764825821,0.08593750465661287,8,0.00390625
original,2,phasenest,0.125,0.08593750465661287,8,0.00390625
original,2,phasesar,0.15625,0.08593750465661287,8,0.00390625
original,2,quorumweave,0.03125,0.08593750465661287,8,0.00390625
original,2,shardbloom,0.09375002980232239,0.08593750465661287,8,0.00390625
original,3,anchorshift,0.1562499701976776,0.17968749348074198,8,0.00390625
original,3,driftgate,0.09375002980232239,0.17968749348074198,8,0.00390625
original,3,fluxpatch,0.1874999850988388,0.17968749348074198,8,0.00390625
original,3,motifbridge,0.06249997019767761,0.17968749348074198,8,0.00390625
original,3,phasenest,0.3437499701976776,0.17968749348074198,8,0.00390625
original,3,phasesar,0.2187499925494194,0.17968749348074198,8,0.00390625
original,3,quorumweave,0.15625,0.17968749348074198,8,0.00390625
original,3,shardbloom,0.2187500298023224,0.17968749348074198,8,0.00390625
original,4,anchorshift,0.1562500298023224,0.17578125279396772,8,0.00390625
original,4,driftgate,0.15625,0.17578125279396772,8,0.00390625
original,4,fluxpatch,0.15625,0.17578125279396772,8,0.00390625
original,4,motifbridge,0.062499962747097015,0.17578125279396772,8,0.00390625
original,4,phasenest,0.28125,0.17578125279396772,8,0.00390625
original,4,phasesar,0.25,0.17578125279396772,8,0.00390625
original,4,quorumweave,0.25,0.17578125279396772,8,0.00390625
original,4,shardbloom,0.09375002980232239,0.17578125279396772,8,0.00390625
original,5,anchorshift,0.125,0.15624999348074198,8,0.00390625
original,5,driftgate,0.09374995529651642,0.15624999348074198,8,0.00390625
original,5,fluxpatch,0.125,0.15624999348074198,8,0.00390625
original,5,motifbridge,0.031249970197677612,0.15624999348074198,8,0.00390625
original,5,phasenest,0.3124999850988388,0.15624999348074198,8,0.00390625
original,5,phasesar,0.1875,0.15624999348074198,8,0.00390625
original,5,quorumweave,0.15625,0.15624999348074198,8,0.00390625
original,5,shardbloom,0.21875003725290298,0.15624999348074198,8,0.00390625
original,6,anchorshift,0.1874999701976776,0.18359374441206455,8,0.00390625
original,6,driftgate,0.09375,0.18359374441206455,8,0.00390625
original,6,fluxpatch,0.2187500149011612,0.18359374441206455,8,0.00390625
original,6,motifbridge,0.031249985098838806,0.18359374441206455,8,0.00390625
original,6,phasenest,0.25,0.18359374441206455,8,0.00390625
original,6,phasesar,0.2499999850988388,0.18359374441206455,8,0.00390625
original,6,quorumweave,0.2187499701976776,0.18359374441206455,8,0.00390625
original,6,shardbloom,0.2187500298023224,0.18359374441206455,8,0.00390625
original,7,anchorshift,0.1874999850988388,0.26562499813735485,8,0.00390625
original,7,driftgate,0.25,0.26562499813735485,8,0.00390625
original,7,fluxpatch,0.28125,0.26562499813735485,8,0.00390625
original,7,motifbridge,0.031249985098838806,0.26562499813735485,8,0.00390625
original,7,phasenest,0.4375,0.26562499813735485,8,0.00390625
original,7,phasesar,0.28125,0.26562499813735485,8,0.00390625
original,7,quorumweave,0.3125,0.26562499813735485,8,0.00390625
original,7,shardbloom,0.3437500149011612,0.26562499813735485,8,0.00390625
original,8,anchorshift,0.1562499701976776,0.26171875,8,0.00390625
original,8,driftgate,0.21875,0.26171875,8,0.00390625
original,8,fluxpatch,0.2812499850988388,0.26171875,8,0.00390625
original,8,motifbridge,0.09374997019767761,0.26171875,8,0.00390625
original,8,phasenest,0.4062500149011612,0.26171875,8,0.00390625
original,8,phasesar,0.28125,0.26171875,8,0.00390625
original,8,quorumweave,0.3125,0.26171875,8,0.00390625
original,8,shardbloom,0.3437500596046448,0.26171875,8,0.00390625
new_carrier,1,anchorshift,0.15625,0.08593750186264515,7,0.015625
new_carrier,1,driftgate,0.06249995529651642,0.08593750186264515,7,0.015625
new_carrier,1,fluxpatch,0.125,0.08593750186264515,7,0.015625
new_carrier,1,motifbridge,0.06250002980232239,0.08593750186264515,7,0.015625
new_carrier,1,phasenest,-0.0625,0.08593750186264515,7,0.015625
new_carrier,1,phasesar,0.1562500149011612,0.08593750186264515,7,0.015625
new_carrier,1,quorumweave,0.1250000149011612,0.08593750186264515,7,0.015625
new_carrier,1,shardbloom,0.0625,0.08593750186264515,7,0.015625
new_carrier,2,anchorshift,0.25,0.1406250037252903,8,0.00390625
new_carrier,2,driftgate,0.09374995529651642,0.1406250037252903,8,0.00390625
new_carrier,2,fluxpatch,0.125,0.1406250037252903,8,0.00390625
new_carrier,2,motifbridge,0.06250002980232239,0.1406250037252903,8,0.00390625
new_carrier,2,phasenest,0.0625000149011612,0.1406250037252903,8,0.00390625
new_carrier,2,phasesar,0.34375,0.1406250037252903,8,0.00390625
new_carrier,2,quorumweave,0.09375002980232239,0.1406250037252903,8,0.00390625
new_carrier,2,shardbloom,0.09375,0.1406250037252903,8,0.00390625
new_carrier,3,anchorshift,0.375,0.2382812462747097,8,0.00390625
new_carrier,3,driftgate,0.24999995529651642,0.2382812462747097,8,0.00390625
new_carrier,3,fluxpatch,0.1874999850988388,0.2382812462747097,8,0.00390625
new_carrier,3,motifbridge,0.1562500298023224,0.2382812462747097,8,0.00390625
new_carrier,3,phasenest,0.34375,0.2382812462747097,8,0.00390625
new_carrier,3,phasesar,0.2500000149011612,0.2382812462747097,8,0.00390625
new_carrier,3,quorumweave,0.2499999850988388,0.2382812462747097,8,0.00390625
new_carrier,3,shardbloom,0.09375,0.2382812462747097,8,0.00390625
new_carrier,4,anchorshift,0.46875,0.2695312527939677,8,0.00390625
new_carrier,4,driftgate,0.2812499552965164,0.2695312527939677,8,0.00390625
new_carrier,4,fluxpatch,0.1875,0.2695312527939677,8,0.00390625
new_carrier,4,motifbridge,0.1562500298023224,0.2695312527939677,8,0.00390625
new_carrier,4,phasenest,0.40625,0.2695312527939677,8,0.00390625
new_carrier,4,phasesar,0.3125,0.2695312527939677,8,0.00390625
new_carrier,4,quorumweave,0.1875000298023224,0.2695312527939677,8,0.00390625
new_carrier,4,shardbloom,0.1562500074505806,0.2695312527939677,8,0.00390625
new_carrier,5,anchorshift,0.375,0.24609374813735485,8,0.00390625
new_carrier,5,driftgate,0.21874995529651642,0.24609374813735485,8,0.00390625
new_carrier,5,fluxpatch,0.25,0.24609374813735485,8,0.00390625
new_carrier,5,motifbridge,0.1875000298023224,0.24609374813735485,8,0.00390625
new_carrier,5,phasenest,0.28125,0.24609374813735485,8,0.00390625
new_carrier,5,phasesar,0.25,0.24609374813735485,8,0.00390625
new_carrier,5,quorumweave,0.21875,0.24609374813735485,8,0.00390625
new_carrier,5,shardbloom,0.1875,0.24609374813735485,8,0.00390625
new_carrier,6,anchorshift,0.4375,0.27343750186264515,8,0.00390625
new_carrier,6,driftgate,0.24999994039535522,0.27343750186264515,8,0.00390625
new_carrier,6,fluxpatch,0.2187500149011612,0.27343750186264515,8,0.00390625
new_carrier,6,motifbridge,0.21875005960464478,0.27343750186264515,8,0.00390625
new_carrier,6,phasenest,0.4062499850988388,0.27343750186264515,8,0.00390625
new_carrier,6,phasesar,0.3124999850988388,0.27343750186264515,8,0.00390625
new_carrier,6,quorumweave,0.2187500298023224,0.27343750186264515,8,0.00390625
new_carrier,6,shardbloom,0.125,0.27343750186264515,8,0.00390625
new_carrier,7,anchorshift,0.46875,0.35937500186264515,8,0.00390625
new_carrier,7,driftgate,0.37499992549419403,0.35937500186264515,8,0.00390625
new_carrier,7,fluxpatch,0.34375,0.35937500186264515,8,0.00390625
new_carrier,7,motifbridge,0.2500000298023224,0.35937500186264515,8,0.00390625
new_carrier,7,phasenest,0.59375,0.35937500186264515,8,0.00390625
new_carrier,7,phasesar,0.3437499701976776,0.35937500186264515,8,0.00390625
new_carrier,7,quorumweave,0.21875008940696716,0.35937500186264515,8,0.00390625
new_carrier,7,shardbloom,0.28125,0.35937500186264515,8,0.00390625
new_carrier,8,anchorshift,0.5,0.3867187472060323,8,0.00390625
new_carrier,8,driftgate,0.3749999552965164,0.3867187472060323,8,0.00390625
new_carrier,8,fluxpatch,0.375,0.3867187472060323,8,0.00390625
new_carrier,8,motifbridge,0.2187500298023224,0.3867187472060323,8,0.00390625
new_carrier,8,phasenest,0.6250000074505806,0.3867187472060323,8,0.00390625
new_carrier,8,phasesar,0.4374999850988388,0.3867187472060323,8,0.00390625
new_carrier,8,quorumweave,0.2499999701976776,0.3867187472060323,8,0.00390625
new_carrier,8,shardbloom,0.3125000298023224,0.3867187472060323,8,0.00390625
